new entry "Interrupt_MES_AvatarLowHP"
type "InterruptData"
data "DisplayName" "h73cb03d6g697dg4f05g811cgfd628b294dc3;1"
data "Description" "hba3c6392g19f7g48b8g982cg27cd9a2fa080;1"
data "Icon" "PassiveFeature_Generic_Explosion"
data "InterruptContext" "OnCastHit"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "IsAbleToReact(context.Observer) and IsHit() and not AnyEntityIsItem() and HasLastAttackTriggered() and HasHPPercentageWithoutTemporaryHPLessThan(35, context.Observer)"
data "Properties" "UseSpell(OBSERVER_OBSERVER,Shout_MES_Avatar,true,true,true)"
data "Cost" ""
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "not HasAnyStatus({'SG_Polymorph','SG_Blinded'}) or Tagged('MINDFLAYER') or HasStatus('MES_EXHAUSTED',context.Source)"
data "EnableContext" "OnStatusApplied;OnStatusRemoved"
